expeId	lang	config	col.3-4	crfpp.algo	crfpp.cost	crfpp.minfreq	crftool	labels	pattern.singleNGramSize	wapiti.algo	wapiti.sparse	level	perf
expe	BG	075	3:3:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5795
expe	BG	076	3:3:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6434
expe	BG	076	3:3:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5846
expe	BG	077	3:3:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6427
expe	BG	077	3:3:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5887
expe	BG	078	4:1:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5644
expe	BG	078	4:1:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4037
expe	BG	079	4:1:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5072
expe	BG	079	4:1:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6191
expe	BG	080	4:1:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6264
expe	BG	080	4:1:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5031
expe	BG	081	4:1:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.0000
expe	BG	081	4:1:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.0194
expe	BG	082	4:1:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.0014
expe	BG	082	4:1:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.0000
expe	BG	083	4:1:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6316
expe	BG	083	4:1:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5017
expe	BG	084	4:1:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4766
expe	BG	084	4:1:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5742
expe	BG	085	4:1:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6426
expe	BG	085	4:1:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5934
expe	BG	086	4:1:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6518
expe	BG	086	4:1:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.6025
expe	BG	087	4:1:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4561
expe	BG	087	4:1:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5766
expe	BG	088	4:1:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6472
expe	BG	088	4:1:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5811
expe	BG	089	4:1:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5936
expe	BG	089	4:1:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6560
expe	BG	090	4:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4254
expe	BG	090	4:2:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5865
expe	BG	091	4:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5263
expe	BG	091	4:2:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6423
expe	BG	092	4:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6465
expe	BG	092	4:2:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5280
expe	BG	093	4:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5816
expe	BG	093	4:2:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4249
expe	BG	094	4:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5260
expe	BG	094	4:2:0:0:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6366
expe	BG	095	4:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.5272
expe	BG	095	4:2:0:0:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6415
expe	BG	096	4:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5894
expe	BG	096	4:2:1:1:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4967
expe	BG	097	4:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6521
expe	BG	097	4:2:1:1:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.6151
expe	BG	098	4:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.6207
expe	BG	098	4:2:1:1:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6605
expe	BG	099	4:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5841
expe	BG	099	4:2:1:1:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4855
expe	BG	100	4:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	Tok	0.6386
expe	BG	100	4:2:1:1:C	CRF	1.0	1	wapiti	BIO	0	l-bfgs	0	MWE	0.5982
expe	BG	101	4:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	Tok	0.6554
expe	BG	101	4:2:1:1:C	CRF	1.0	1	wapiti	BILOU	0	l-bfgs	0	MWE	0.6099
expe	BG	102	4:3:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	MWE	0.4235
expe	BG	102	4:3:0:0:C	CRF	1.0	1	crf++	IO	0	l-bfgs	0	Tok	0.5741
expe	BG	103	4:3:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	Tok	0.6287
expe	BG	103	4:3:0:0:C	CRF	1.0	1	crf++	BIO	0	l-bfgs	0	MWE	0.5097
expe	BG	104	4:3:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	MWE	0.5115
expe	BG	104	4:3:0:0:C	CRF	1.0	1	crf++	BILOU	0	l-bfgs	0	Tok	0.6286
expe	BG	105	4:3:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	Tok	0.5644
expe	BG	105	4:3:0:0:C	CRF	1.0	1	wapiti	IO	0	l-bfgs	0	MWE	0.4123
